Kod stacji,DsLegAlRzecz,DsWalbrzWyso,DsWrocWybCon,KpBydPlPozna,LbLubObywate,LdLodzGdansk,LdLodzZachod,LuGorzKosGdy,LuZielKrotka,MpKrakBulwar,MpSuchaBWIOSHand1512,MzPlocKroJad,MzPlocMiReja,MzRadTochter,MzSiedKonars,MzWarAlNiepo,MzWarWokalna,OpKKozBSmial,PmGdaKacze02,PmStaGdaLubi,SlDabro1000L,SlRybniBorki,SlZlotPotLes,WmOlsPuszkin,WpPoznDabrow
2013-01-01 01:00:00,,,,0.48,2.6,4.33,3.14,0,0,5.8,,1.87,2.53,3.12,3.71,1.76,2.22,1,0.51,0.5,4.2,2.7,2,0.63,1.2
2013-01-01 02:00:00,,,,0.6,2.53,3.62,3.21,0,0,5.8,,1.57,2.43,4.34,3.65,2.09,1.91,1,0.48,0.5,2.8,1.8,1.8,0.56,1.1
2013-01-01 03:00:00,,,,0.39,2.37,2.77,2.49,0,0,5.8,,1.57,2.27,4.18,3.65,1.77,1.93,1,0.44,0.4,2.6,1,1.9,0.52,1
2013-01-01 04:00:00,,,,0.46,2.19,2.41,2.34,0,0,5.8,,1.69,2.39,3.83,3.47,2.74,1.97,0,0.41,0.4,2.1,0.8,1.9,0.49,1.1
2013-01-01 05:00:00,,,,0.38,2.1,1.93,1.98,0,0,5.8,,1.59,2.31,2.92,3.25,2.2,1.93,0,0.38,0.3,1.5,0.9,1.4,0.48,1.2
2013-01-01 06:00:00,,,,0.21,2.04,1.63,1.7,0,0,5.8,,1.47,2.23,2.78,3.09,2.67,1.93,0,0.38,0.3,1.2,0.8,1,0.47,0.9
2013-01-01 07:00:00,,,,0.22,1.95,1.74,1.65,0,0,5.8,,1.54,2.27,2.86,2.79,2.54,2.02,0,0.34,0.4,1,1,0.8,0.53,0.7
2013-01-01 08:00:00,,,,0.09,1.83,1.1,1.34,0,0,5.8,,1.4,2.2,3.08,2.98,2.76,,0,0.32,0.4,0.8,1,0.6,0.61,0.8
2013-01-01 09:00:00,,,,0.29,2.92,1.38,1.47,0,0,5.5,,1.27,1.99,3.86,3.13,3.08,,0,0.33,0.7,1,1.4,0.7,0.65,0.8
2013-01-01 10:00:00,,,,0.23,2.8,1.79,1.83,0,0,5.2,,1.18,1.66,3.78,3.77,2.91,1.82,0,0.52,0.6,1.2,1.8,0.8,0.83,1.1
2013-01-01 11:00:00,,,,0.28,1.68,3.09,2.01,0,0,5.2,,1.13,1.47,2.81,3.29,2.87,1.77,0,0.5,0.7,1.3,1.5,0.9,0.79,1
2013-01-01 12:00:00,,,,0.36,1.73,2.75,2.46,0,0,4.7,,1.2,1.75,2.77,3.05,2.69,1.62,0,0.52,0.6,1.8,0.8,1.1,0.92,1
2013-01-01 13:00:00,,,,0.29,2.13,3.14,2.97,0,0,4,,1.19,1.78,2.6,2.89,2.21,1.63,0,0.47,0.8,1.9,1,1.5,0.85,1.2
2013-01-01 14:00:00,,,,0.4,2.8,2.96,2.88,0,0,3.4,,1.36,1.95,2.22,2.91,1.51,1.75,0,0.66,1.1,2.6,0.9,1.5,0.75,1.4
2013-01-01 15:00:00,,,,0.47,1.7,3.58,3.54,0,0,2.9,,1.4,2.1,2.12,3.03,1.25,1.51,0,0.77,1.2,2.6,0.9,1.7,0.76,1.4
2013-01-01 16:00:00,,,,1.05,1.79,3,2.86,0,0,3.1,,1.59,2.25,2.77,3.45,1.37,1.47,0,0.79,1.1,3.1,1.2,1.7,0.93,1.7
2013-01-01 17:00:00,,,,0.86,7.22,3.16,2.95,0,0,4.1,,1.79,2.98,3.01,4.24,1.56,1.58,1,0.92,1.1,5.6,1.4,1.9,1.09,2.5
2013-01-01 18:00:00,,,,0.81,3.18,3.77,2.86,0,,4.4,,1.95,3.58,4.64,4.35,1.88,1.78,1,1.01,1.3,6.5,1.5,2,1.13,2.6
2013-01-01 19:00:00,,,,0.53,2.1,3.35,2.76,0,0,5.5,,2.56,3.64,4.24,4.79,2.05,1.82,1,1.18,1.4,5.7,1.6,2.1,0.95,2.7
2013-01-01 20:00:00,,,,0.61,1.98,4.24,3.66,0,0,7,,1.88,2.55,3.63,4.08,2.14,1.82,1,1.47,1.3,6,1.5,2.1,0.81,1.9
2013-01-01 21:00:00,,,,0.48,3.09,4.48,3.41,0,0,8.8,,1.76,2.31,,4.29,2.64,1.99,1,1.28,1.3,4.9,1.6,2.5,0.8,1.8
2013-01-01 22:00:00,,,,0.59,2.67,3.19,3.34,0,0,10.4,,1.67,3.1,3.88,3.61,2.9,2.21,1,0.76,1.1,4.7,1.6,2.4,0.76,1.8
2013-01-01 23:00:00,,,,0.84,2.08,3.13,2.93,0,0,11.6,,1.58,2.96,3.48,3.38,2.72,2.28,1,0.7,1,5.1,1.7,2.2,0.78,1.7
2013-01-02 00:00:00,,,,0.66,2.09,3.07,2.95,0,0,11.2,,1.44,2.49,3.05,3.65,2.99,2.31,1,0.84,0.5,5.7,1.7,2,0.82,1.6
2013-01-02 01:00:00,,,,0.79,1.76,2.8,2.81,0,0,9.3,,1.43,2.46,3.55,3.04,3.82,2.33,2,0.82,0.6,4.4,1.5,2,0.69,1.4
2013-01-02 02:00:00,,,,0.62,1.54,2.34,2.38,0,0,7.3,,1.48,2.39,3.2,2.65,3.42,2.13,1,0.73,0.5,4.2,1.4,1.9,0.65,1.2
2013-01-02 03:00:00,,,,0.45,1.4,2.15,2.2,0,0,5.9,,1.51,2.13,3.48,2.46,2.63,1.87,1,0.73,0.5,4.1,1.4,1.9,0.63,1
2013-01-02 04:00:00,,,,0.58,1.36,2.07,2.21,0,0,4.7,,1.51,2.2,3.39,2.39,2.13,1.7,1,0.66,0.4,4,1.4,1.9,0.59,0.9
2013-01-02 05:00:00,,,,0.56,1.33,2.04,2.05,1,0,3.9,,1.54,2.39,3.39,2.39,1.96,1.51,1,0.61,0.4,2.9,1.4,2,0.63,0.6
2013-01-02 06:00:00,,,,0.4,1.37,2.01,2.07,1,0,3.4,,1.49,2.39,3.57,2.43,2.47,1.48,1,0.64,0.5,2.9,1.5,2.1,0.7,0
2013-01-02 07:00:00,,,,0.53,1.58,2.28,2.35,1,0,3.2,,1.49,2.48,3.55,2.71,1.88,1.64,2,0.56,0.5,3.4,1.6,2.6,0.71,0
2013-01-02 08:00:00,,,,0.35,4.78,2.47,2.61,0,0,3.1,,1.43,2.3,4.31,3.01,2.33,1.83,2,0.44,0.5,3.9,1.8,2.5,0.7,0.4
2013-01-02 09:00:00,,,,0.38,3.08,2.82,3.09,0,0,3.2,,1.46,2.42,4.04,3.08,3.43,1.92,2,0.3,0.9,4.2,2.1,2.6,0.78,0.7
2013-01-02 10:00:00,,,,1.51,2.58,5.16,3.81,0,0,3.2,,1.38,2.46,4.15,3.32,2.58,1.95,2,0.45,0.6,4.7,2.6,2.6,0.81,1.1
2013-01-02 11:00:00,,,,0.45,2.7,3.87,3.41,0,1,3.2,,1.16,2.35,3.23,3.27,1.8,1.04,2,0.83,0.5,5.7,3,2.4,0.65,0.8
2013-01-02 12:00:00,,,,0.42,2.94,3.15,3.38,0,0,3.4,,0.82,1.8,3.25,3.28,1.63,1.51,2,0.36,0.7,6.2,3.1,2.4,0.58,0.8
2013-01-02 13:00:00,,,,0.69,2.77,2.94,2.79,0,0,3.2,,0.43,1.85,3.73,3.37,1.58,1.35,2,0.33,0.6,,2.9,2.7,0.46,0.8
2013-01-02 14:00:00,,,,0.7,2.91,1.81,2.84,0,0,2.9,,0.72,1.79,3.89,3.37,1.39,1.12,3,0.51,0.3,,3.4,2.2,0.43,0.8
2013-01-02 15:00:00,,,,0.71,3.61,2.73,3.66,0,0,2.9,,0.94,1.88,3.65,3.75,1.3,0.79,3,0.52,0.7,,4,2.3,0.41,0.9
2013-01-02 16:00:00,,,,1.03,4.33,3.65,3.63,0,0,2.9,,1.03,2.4,3.78,4.6,2.12,1.14,3,0.54,1,,3.9,2.8,0.46,1.2
2013-01-02 17:00:00,,,,1.17,,4.05,4.2,0,0,2.9,,1.08,2.45,4.2,5.44,3.14,1.95,4,0.76,0.8,,3.9,3.4,0.48,1.6
2013-01-02 18:00:00,,,,0.95,,4.66,4.93,0,0,3.2,,1.07,2.27,3.34,4.2,3.15,2.15,4,0.7,0.8,,4.5,4.4,0.59,1.4
2013-01-02 19:00:00,,,,1.01,3.65,4.9,,0,0,3.6,,1.06,2.26,4.27,3.9,2.15,1.34,3,0.64,0.4,,4.3,4.4,0.44,1.2
2013-01-02 20:00:00,,,,0.37,3.9,5.2,,0,0,3.6,,1.09,2.17,4.01,3.28,1.66,1.18,3,0.36,0.5,,3.4,4,0.43,1.6
2013-01-02 21:00:00,,,,0.29,3.54,3.64,3.05,0,0,3.2,,0.91,1.86,3.91,3.18,1.69,1.48,2,0.26,0.3,,2.5,3.8,0.36,0.7
2013-01-02 22:00:00,,,,0.19,3.25,3.43,2.78,0,0,2.9,,1.02,2,,2.76,1.79,1.52,2,0.23,0.3,,2.7,3.2,0.35,0.9
2013-01-02 23:00:00,,,,0.25,3.6,1.99,1.73,0,0,2.8,,0.78,1.45,,2.44,1.53,1.31,2,0.31,0.3,,2.9,2.6,0.31,0.8
2013-01-03 00:00:00,,,,0.2,3.16,1.41,1.4,0,0,2.6,,0.63,1.39,2.84,2.33,0.98,0.92,2,0.25,0.2,,2.5,2.4,0.26,0.9
2013-01-03 01:00:00,,,,,2.91,1.23,1.41,0,0,2.1,,0.61,1.68,2.1,2.07,0.79,0.76,2,0.22,0.2,,2.5,2.1,0.23,0.5
2013-01-03 02:00:00,,,,,2.43,1.16,1.09,0,0,1.8,,0.23,1.79,1.41,1.67,0.71,0.72,1,0.19,0.1,,2.5,2,0.24,0.2
2013-01-03 03:00:00,,,,,1.99,0.9,0.83,0,0,1.6,,,1.49,0.98,1.45,0.66,0.63,1,0.17,0.1,,2.3,1.9,0.2,0.1
2013-01-03 04:00:00,,,,,1.5,0.73,0.85,0,0,1.5,,,1.24,0.8,1.36,0.57,0.56,0,0.15,0.2,,2.3,1.6,0.18,0.1
2013-01-03 05:00:00,,,,,1.22,0.7,0.79,0,0,1.3,,,1.19,0.8,1.27,0.57,0.53,1,0.16,0.1,,1.6,1.4,0.16,0.1
2013-01-03 06:00:00,,,,0.04,1.1,0.71,0.81,0,0,1.3,,,1.09,0.72,1.32,0.49,0.51,1,0.2,0.1,,1.1,1.2,0.16,0.3
2013-01-03 07:00:00,,,,0.47,1.13,1.22,1.11,0,0,1,,,1.26,0.77,1.25,0.49,0.51,1,0.25,0.3,,0.9,1.2,0.16,0.3
2013-01-03 08:00:00,,,,0.52,2.43,1.49,1.47,0,0,1.3,,,1.37,0.96,1.29,0.64,0.62,0,0.25,0.2,,2.2,1.2,0.2,0.5
2013-01-03 09:00:00,,,,0.4,1.65,1.94,1.97,0,0,1.3,,0.35,1.51,1.2,1.56,1.11,0.64,0,0.28,0.3,,2.7,1.2,0.23,0.6
2013-01-03 10:00:00,,,,0.32,1.42,3.08,2.09,0,0,1.6,,0.4,1.62,1.45,1.59,1.2,0.71,1,0.38,0.7,,2.6,1.3,0.29,1
2013-01-03 11:00:00,,,,0.17,1.61,2.43,2.48,0,0,1.3,,0.49,1.81,1.49,1.62,1,0.82,0,,1,,1.4,2.1,0.34,0.7
2013-01-03 12:00:00,,,,0.3,1.62,2.4,2.36,0,0,1.3,,0.7,1.84,1.24,1.61,1,0.77,0,,0.8,,1.8,2.1,0.4,0.6
2013-01-03 13:00:00,,,,0.38,1.75,2.24,2.23,0,0,1.2,,0.86,1.87,1.15,1.55,0.96,0.79,0,,0.5,,1.3,2.1,0.46,0.7
2013-01-03 14:00:00,,,,0.68,1.32,2.15,2.8,0,0,1,,0.86,1.91,1.69,1.66,1.24,0.72,0,0.91,0.4,,1,2,0.49,0.6
2013-01-03 15:00:00,,,,0.3,1.4,2.57,2.83,0,,1.2,,0.95,1.91,2.37,1.8,1.37,,0,0.69,0.6,4.4,1,1.7,0.48,0.6
2013-01-03 16:00:00,,,,0.34,1.47,2.27,2.58,0,0,1.3,,0.99,2.24,2.37,2.03,1.75,,1,0.47,0.5,4.9,1.5,1.5,0.54,0.7
2013-01-03 17:00:00,,,,0.47,1.74,2.54,3.04,0,0,1.3,,0.95,2.12,2.06,2.44,1.92,1.28,1,0.27,0.5,4.7,1.7,1.4,0.52,0.7
2013-01-03 18:00:00,,,,0.4,2.07,2.72,2.5,0,0,1.3,,1.03,2.04,1.78,2.3,1.39,1.3,1,0.2,0.5,5.2,1.4,1.3,0.47,0.6
2013-01-03 19:00:00,,,,0.82,1.63,2.45,3.01,0,0,1.3,,0.74,1.83,2.14,2.38,1.43,1.21,1,0.19,0.3,6.1,1.5,1.4,0.43,0.5
2013-01-03 20:00:00,,,,0.59,2.1,1.77,2.02,0,,1.3,,0.24,1.51,1.81,2.28,1.2,1.19,1,0.18,0.3,6.1,2.1,1.6,0.3,0.6
2013-01-03 21:00:00,,,,0.34,1.71,1.69,2.21,0,0,1.3,,0.15,1.37,1.64,2.28,1.04,1.02,1,0.19,0.2,5.5,2.8,1.6,0.23,0.5
2013-01-03 22:00:00,,,,0.3,1.59,1.75,1.61,0,0,1,,0.85,1.17,1.8,2.1,0.99,0.93,1,0.16,0.3,5.4,1.7,1.4,0.2,0.2
2013-01-03 23:00:00,,,,0.02,1.3,1.57,0.98,0,0,1,,0.82,1.14,1.14,1.27,0.75,0.73,0,0.16,0.2,4.7,1.4,1.2,0.17,0
2013-01-04 00:00:00,,,,,1.05,1.22,0.87,0,0,1,,0.47,1.08,,0.85,0.65,0.52,0,0.16,0.1,4.4,1.4,0.9,0.16,0
2013-01-04 01:00:00,,,,,0.56,0.88,0.72,0,0,1,,,0.97,,0.74,0.51,0.43,0,0.14,0.1,4.4,1.2,1,0.13,0
2013-01-04 02:00:00,,,,,0.44,0.63,0.51,0,0,1,,,0.91,0.45,0.69,0.36,0.3,0,0.13,0.1,2.8,0.9,1.4,0.11,0
2013-01-04 03:00:00,,,,,0.41,0.56,0.52,0,0,0.7,,,0.91,0.22,0.63,0.35,0.4,0,0.13,0.1,0.8,0.4,0.8,0.1,0
2013-01-04 04:00:00,,,,,0.36,0.45,0.53,0,0,0.4,,,0.85,0.25,0.62,0.42,0.34,0,0.13,0.1,0.5,0.3,0.8,0.1,0
2013-01-04 05:00:00,,,,,0.34,0.45,0.47,0,0,0.4,,,0.93,0.2,0.59,0.3,0.31,0,0.13,0.1,0.5,0.3,0.8,0.1,0
2013-01-04 06:00:00,,,,,0.37,0.43,0.46,0,0,0.4,,,0.88,0.18,0.66,0.38,0.28,0,0.13,0.1,0.5,0.2,0.6,0.1,0
2013-01-04 07:00:00,,,,,0.37,0.43,0.58,0,0,0.4,,,1.09,0.43,0.7,0.42,0.35,0,0.14,0.1,0.8,0.2,0.7,0.1,0
2013-01-04 08:00:00,,,,0.22,0.48,1.26,0.6,0,0,0.4,,,1.02,0.61,0.67,0.57,0.47,0,0.17,0.2,1.4,0.2,0.8,0.11,0
2013-01-04 09:00:00,,,,0.35,0.48,0.85,0.9,0,0,0.4,,,1.02,0.81,0.67,0.71,0.56,0,0.18,0.2,1,0.6,1.1,0.15,0.2
2013-01-04 10:00:00,,,,0.19,0.46,1.02,0.76,0,0,0.4,,,1.21,0.95,0.71,0.69,0.55,0,0.2,0.6,1,0.7,1,0.14,0.1
2013-01-04 11:00:00,,,,0.42,0.55,1.22,0.94,0,0,0.4,,,1.17,1.36,0.7,0.72,0.56,0,0.2,0.5,1,0.4,0.7,0.18,0.4
2013-01-04 12:00:00,,,,1.15,0.55,1.23,1.1,0,0,0.4,2.2,,1.26,1.09,1,0.73,0.52,0,0.19,0.4,1,0.3,0.6,0.16,0.5
2013-01-04 13:00:00,,,,0.49,0.64,1.46,1.31,0,1,0.4,1.5,0.26,1.38,1.18,0.89,0.81,0.5,1,0.2,0.6,2.2,0.3,1,0.17,0.5
2013-01-04 14:00:00,,,,0.48,0.7,1.47,1.39,0,0,0.4,1.5,0.15,1.37,2.32,1.04,1.03,0.48,0,0.27,0.8,3.6,1.7,0.8,0.2,0.7
2013-01-04 15:00:00,,,,0.63,0.73,2.12,1.14,0,1,0.7,1.6,1,1.41,1.95,0.88,0.8,0.53,0,0.26,0.4,2.7,1,1.3,0.24,0.6
2013-01-04 16:00:00,,,,0.4,0.82,1.84,1.33,0,0,1,2.8,0.45,1.59,2.31,0.96,0.98,0.65,0,0.27,0.7,2,0.8,1.8,0.24,0.6
2013-01-04 17:00:00,,,,0.5,0.89,2.3,2.2,1,0,1,2.1,0.66,1.52,2.15,0.98,1.27,1.05,0,0.27,1.1,4.4,0.8,1.3,0.29,1.4
2013-01-04 18:00:00,,,,0.59,1.19,2.38,2.5,1,0,1.2,2,0.46,1.47,2.9,1,1.1,1.12,1,0.31,0.7,4.2,1.7,0.9,0.33,1.4
2013-01-04 19:00:00,,,,0.91,1.33,2.09,2.6,1,2,1.3,2.4,0.78,1.68,2.53,1.15,1.06,0.69,1,0.4,0.8,3.9,2.8,0.8,0.34,1.2
2013-01-04 20:00:00,,,,3.4,1,2.62,2.65,1,1,1.2,3.9,0.8,1.66,3,1.31,1.24,1.37,3,0.35,1.9,5.2,2.6,0.8,0.44,1
2013-01-04 21:00:00,,,,1.59,1.07,3.07,4.07,1,0,1.2,3.5,0.88,1.57,3.06,1.52,1.4,1.34,1,0.31,0.9,6.1,2.3,1,0.43,0.8
2013-01-04 22:00:00,,,,2.9,1.2,3.15,3.43,1,0,1.3,0.4,0.95,1.93,2.73,1.37,1.25,1.01,0,0.3,0.7,5.8,2.9,1.2,0.29,0.8
2013-01-04 23:00:00,,,,1.96,1.07,3.1,2.69,1,0,1.3,0.4,1.16,1.9,1.92,1.32,1.1,1.28,0,0.27,0.5,5.5,2.7,1.1,0.23,0.4
2013-01-05 00:00:00,,,,0.61,1.39,3.73,2.16,1,0,1.3,0.4,1.13,1.8,1.25,1.19,0.98,0.84,1,0.21,0.2,5.8,2.9,0.8,0.16,0
2013-01-05 01:00:00,,,,0.23,1.3,1.81,1.67,1,1,1.3,0.4,0.94,2.26,1.23,1.03,0.92,0.88,2,0.19,0.2,6.4,1.3,1.4,0.13,0
2013-01-05 02:00:00,,,,0.09,1.19,1.44,1.17,1,0,1.3,0.4,1.97,4.09,,1.08,0.87,0.74,0,0.17,0.2,3.6,1,1.2,0.1,0
2013-01-05 03:00:00,,,,,0.96,1.06,1.03,1,0,1.3,0.4,2.35,3.52,1,0.96,0.72,0.69,0,0.15,0.1,1,0.3,1,0.1,0
2013-01-05 04:00:00,,,,,0.75,0.85,0.86,1,0,1.3,0.4,1.57,4.17,0.6,0.86,0.66,0.68,0,0.15,0.1,1.4,0.2,0.9,0.1,0
2013-01-05 05:00:00,,,,,0.61,0.74,0.78,1,0,1.3,0.4,,1.76,0.58,0.91,0.5,0.46,0,0.15,0.1,2,0.2,0.6,0.1,0
2013-01-05 06:00:00,,,,,0.56,0.76,0.68,0,1,1,0.4,,2.63,0.78,0.68,0.42,0.4,0,0.19,0.1,1,0.2,0.6,0.1,0
2013-01-05 07:00:00,,,,,0.48,0.57,0.65,0,0,1,0.4,0.8,5.03,1.24,0.72,0.47,0.41,0,0.16,0.1,1,0.3,0.5,0.1,0
2013-01-05 08:00:00,,,,,0.41,0.46,0.62,0,0,0.7,0.4,1.16,5.55,1.02,0.76,0.52,0.44,0,0.16,0.1,1,0.6,0.5,0.11,0
2013-01-05 09:00:00,,,,0.09,0.5,0.64,0.72,0,0,0.4,2.1,1.43,5.85,0.6,0.89,0.58,0.42,0,0.16,0.6,1,0.7,0.5,0.13,0
2013-01-05 10:00:00,,,,0.31,0.57,0.81,0.87,0,0,1,1.3,0.91,4.37,1.15,1.13,0.85,0.41,0,0.15,0.2,1.4,1.9,0.6,0.13,0
2013-01-05 11:00:00,,,,0.43,0.55,0.96,1.07,0,0,0.7,0.7,0.89,5.08,0.87,1.13,0.87,0.52,0,0.14,0.2,1,4.5,0.8,0.16,0
2013-01-05 12:00:00,,,,0.65,0.73,0.94,1.05,0,0,0.4,1.8,1.43,4.8,0.92,1.24,0.95,0.62,0,0.15,0.4,1,1.8,0.6,0.2,0
2013-01-05 13:00:00,,,,0.63,0.79,1.48,1.31,0,0,0.4,1.2,1.52,4.35,1.43,1.35,1.09,0.64,0,0.15,0.3,1.7,1.9,0.5,0.23,0
2013-01-05 14:00:00,,,,2.05,0.77,1.81,1.5,0,1,0.4,1.3,1.55,4.3,1.28,1.69,1.13,0.61,0,0.13,0.3,1.7,1.9,0.5,0.23,0
2013-01-05 15:00:00,,,,0.72,0.79,1.82,1.54,0,0,0.4,1.5,1.53,2.93,1.39,1.67,0.95,0.66,0,0.13,0.8,1,1.1,0.6,0.24,0
2013-01-05 16:00:00,,,,6.14,1.07,1.6,1.75,0,0,0.4,1,1.62,5.21,2.61,1.46,1.22,0.48,0,0.13,0.7,1.7,1.5,0.6,0.25,0.1
2013-01-05 17:00:00,,,,1.81,1.4,1.28,1.55,1,1,0.4,0.7,1.76,4.47,1.42,1.46,1.23,0.52,1,0.16,0.6,1.7,1.5,0.7,0.29,0.3
2013-01-05 18:00:00,,,,1.81,1.16,1.39,1.69,1,0,0.4,0.7,1.57,2.64,2.01,1.56,1.05,0.66,1,0.15,0.6,2,1.4,0.9,0.23,0.2
2013-01-05 19:00:00,,,,2.75,1.11,1.64,1.81,1,0,0.4,1.1,1.63,2.38,1.69,1.43,1.14,0.68,0,0.18,0.7,2,1.7,1,0.23,0.4
2013-01-05 20:00:00,,,,1.11,0.97,1.91,1.62,2,1,0.4,0.4,1.71,2.82,1.54,1.39,1.14,0.59,0,0.15,0.5,1.7,1.6,0.8,0.21,0.5
2013-01-05 21:00:00,,,,0.96,0.83,2.09,1.62,2,0,0.4,1,1.62,3,1.49,1.47,0.92,0.55,0,0.19,0.6,2,1.4,0.8,0.21,0.2
2013-01-05 22:00:00,,,,0.66,0.84,1.94,1.62,1,0,0.4,1,1.95,4.48,1.18,1.25,0.99,0.59,0,0.27,0.6,1.7,0.9,0.8,0.22,0.6
2013-01-05 23:00:00,,,,0.7,0.86,2.51,1.52,1,1,0.4,1,1.93,6.32,0.79,1.09,1.08,0.6,0,0.35,0.9,1.7,0.6,0.7,0.2,0.6
2013-01-06 00:00:00,,,,0.61,0.74,2.65,1.44,1,0,0.4,0.7,1.57,5.71,0.97,1.18,0.8,0.51,0,0.36,0.8,1.7,0.9,0.6,0.21,1.3
2013-01-06 01:00:00,,,,0.62,0.67,2.08,1.35,1,0,0.4,0.4,1.21,6.06,0.79,1.35,0.77,0.53,0,0.36,0.8,1.4,0.7,0.7,0.19,2.3
2013-01-06 02:00:00,,,,0.48,0.6,1.39,1.18,1,0,0.4,0.4,0.87,5.46,0.77,1,0.66,0.54,1,0.37,0.6,1.4,0.6,0.7,0.16,1.1
2013-01-06 03:00:00,,,,0.47,0.54,1.38,1.23,1,1,0.4,0.4,0.42,1.42,0.7,0.8,0.59,0.54,0,0.24,0.4,1,0.8,0.7,0.15,0.8
2013-01-06 04:00:00,,,,0.24,0.51,1.24,1.23,0,0,0.4,0.4,0.77,1.24,,0.76,0.65,0.52,1,0.21,0.3,1,1.3,0.5,0.13,0.7
2013-01-06 05:00:00,,,,0.23,0.51,1.19,1.36,0,0,0.4,0.4,0.52,1.15,0.44,0.75,0.63,0.66,0,0.23,0.2,1,1.6,0.7,0.13,0.6
2013-01-06 06:00:00,,,,0.15,0.45,1.15,0.95,0,1,0.4,0.4,,1.22,0.46,0.87,0.63,0.49,1,0.22,0.2,1,1.5,0.7,0.14,0.5
2013-01-06 07:00:00,,,,0.12,0.46,1.21,1.15,0,0,0.4,0.4,0.45,1.22,0.59,0.85,0.67,0.59,0,0.21,0.2,1.7,1.6,0.9,0.16,0.7
2013-01-06 08:00:00,,,,0.28,0.51,1.06,1.12,0,1,0.4,0.4,0.27,1.14,0.88,0.8,0.65,0.62,0,0.38,0.3,1.7,1.6,1.5,0.17,0.6
2013-01-06 09:00:00,,,,0.46,0.58,2.07,1.24,0,1,0.4,1,0.63,1.3,0.74,0.83,0.78,0.71,0,0.63,1.3,2.2,1.9,2.6,0.26,0.8
2013-01-06 10:00:00,,,,0.55,0.58,2.91,1.95,0,2,0.4,1.2,1.17,1.46,1.83,0.95,0.85,0.89,1,0.27,2.2,3.2,3.2,1.1,0.34,1.2
2013-01-06 11:00:00,,,,1.88,0.65,3.22,2.69,0,3,1,2,1.08,1.59,1.66,1.1,1.05,0.49,1,0.37,2.5,5.2,3.2,1,0.31,2
2013-01-06 12:00:00,,,,4.39,0.8,2.71,2.49,0,2,1,2.5,1.13,2,1.51,1.36,1.07,0.75,1,0.59,1,6,3,1.3,0.31,2.1
2013-01-06 13:00:00,,,,5.19,0.92,3.42,2.25,0,3,1,2,1.17,2.21,2.12,1.35,1.14,0.76,1,0.65,4.4,8.3,2.4,1.6,0.26,2.6
2013-01-06 14:00:00,,,,7.64,1.22,4.02,2.09,0,1,1,2.9,1.57,1.92,1.72,1.46,1.15,1.94,2,0.63,3.6,8.3,2.3,1.4,0.27,2.1
2013-01-06 15:00:00,,,,7.73,1.36,5.22,2.28,0,2,1.5,5.3,1.33,4.67,1.77,1.44,1.53,,2,0.86,2.3,8.6,3.7,1.4,0.29,2.8
2013-01-06 16:00:00,,,,9.05,1.12,2.99,2.61,0,1,1.8,6.6,2.21,1.92,2.86,1.82,1.44,1.01,2,0.59,2.1,8.3,3.5,2.4,0.35,1.8
2013-01-06 17:00:00,,,,9.83,1.16,4.2,3.39,0,,1.9,7,4.23,4.52,3,3.56,1.4,1.09,2,0.21,1.7,9.1,3.8,1.7,0.33,1.1
2013-01-06 18:00:00,,,,8.35,1.34,3.35,2.58,0,,2.3,6.7,2.44,5.22,2.91,3.71,1.82,0.93,4,0.17,1.6,10.2,4.6,2,0.45,1.2
2013-01-06 19:00:00,,,,4.84,1.34,3.33,2.68,0,,2.6,6.2,6.11,2.91,3.31,2.67,1.29,1.51,7,0.17,1.9,5.2,7,1.7,0.37,1.3
2013-01-06 20:00:00,,,,2.65,1.73,2.62,2.5,0,,2.5,5.4,4.85,2.39,3.08,3.33,1.07,1.18,9,0.19,1.2,5.8,4,2,0.33,1
2013-01-06 21:00:00,,,,2.31,1.06,2.81,2.48,0,,2.1,3.1,3.96,2,2.64,2.62,0.9,0.9,3,0.23,1,7.1,4.3,1.6,0.33,0.8
2013-01-06 22:00:00,,,,12.74,0.96,2.45,2.46,0,,1.8,1.3,1.15,1.83,1.84,2.48,0.98,0.93,2,0.24,0.5,5.8,2.8,1.5,0.28,0.9
2013-01-06 23:00:00,,,,2.25,0.82,2.36,1.96,0,,1.6,1,0.93,1.45,1.12,3.61,0.87,0.83,1,0.24,0.4,3.9,2.6,1.5,0.27,1.2
2013-01-07 00:00:00,,,,0.64,0.76,3.25,1.77,0,,1.5,1,0.34,1.01,1,1.99,0.96,0.68,1,0.26,0.5,4.4,1.9,1.4,0.23,1.2
2013-01-07 01:00:00,,,,0.21,0.91,1.86,1.53,0,,1.3,1,0.88,1.05,0.67,1.33,0.69,0.73,1,0.28,0.4,4.2,1.7,1.2,0.21,1.1
2013-01-07 02:00:00,,,,0.44,0.69,1.19,1.11,0,,1.2,1,0.47,0.99,0.89,1.24,0.61,0.61,1,0.28,0.5,3.2,1.3,1.2,0.2,0.8
2013-01-07 03:00:00,,,,0.9,0.58,1.19,0.99,0,,1,0.7,1.01,1.22,0.51,1.04,0.59,0.65,1,0.27,0.4,2.7,0.9,1,0.2,0.9
2013-01-07 04:00:00,,,,0.41,0.65,0.99,1.1,0,,1,0.4,0.18,1.32,0.42,1.19,0.5,0.62,1,0.28,0.4,3,0.8,0.9,0.2,0.8
